Date,Open,High,Low,Close,Volume
2011-10-20,50.14866933300137,50.20158522632546,49.20496443841536,49.91053771972656,80378300
2011-10-21,50.43972618906695,50.85425204061543,50.07811960509043,50.5367431640625,60455800
2011-10-24,50.721953458349056,51.72739931404022,50.5455626359422,51.58628463745117,61449500
2011-10-25,51.41870955894314,51.43634931438489,50.46618631616381,50.572021484375,65299200
2011-10-26,50.854251246576624,50.960086415628616,49.575397564624,50.510284423828125,98193800
2011-10-27,51.71857714027168,52.212480184689554,51.18057639077561,51.90378952026367,104455500
2011-10-28,51.61275613812452,52.04491847669442,51.59511637836491,51.98318099975586,42950000
2011-10-31,51.53336369986802,51.718576076048855,51.074740174725584,51.11001968383789,60520200
2011-11-01,49.8488106730278,51.07474513603242,49.49602227651389,49.77825164794922,99933000
2011-11-02,50.29859317254252,50.41324986160242,49.72531645611941,50.20157623291016,65003800
2011-11-03,50.5984737095229,51.31286858409496,50.01637530357346,51.2423095703125,78994200
2011-11-04,50.995369554199925,51.19822171116195,50.46619030685898,50.97772979736328,61527800
2011-11-07,50.94244270717131,51.37460827429541,50.42208173342063,51.33932876586914,65559000
2011-11-08,51.7097373890966,52.01842456040264,51.1276391771782,51.93022918701172,62906900
2011-11-09,50.92480229789755,51.004179503371866,49.94581788519395,50.10457229614258,69539000
2011-11-10,50.59848993264714,50.64258764818052,49.5930472149501,50.07812881469727,66052400
2011-11-11,50.51026932308192,51.17174481966848,50.44853187922224,51.02180862426758,54471000
2011-11-14,50.88069068953468,51.16291994730344,50.51908424274108,50.70429992675781,44617600
2011-11-15,50.55438099490019,51.47162807791722,50.501461729343305,51.268775939941406,52203900
2011-11-16,50.89834040637313,51.29522642922151,50.32506358620441,50.42207717895508,68342800
2011-11-17,50.28978200873417,50.30742176062711,48.93155139292617,49.24024200439453,101706900
2011-11-18,49.24906454360454,49.301983803952666,48.77280129378829,48.86100006103516,60417000
2011-11-21,48.19951275002822,48.27006838226495,47.43219880116066,47.92610168457031,52283700
2011-11-22,47.80263246413504,48.22597640098911,47.5115816150512,48.08486175537109,51940100
2011-11-23,47.72325106262518,47.776166947297455,46.97357684019828,47.000038146972656,48437300
2011-11-25,46.79720506990009,47.33520251429113,46.629629061906506,46.638450622558594,25448100
2011-11-28,47.77617996312131,48.32300225958788,47.74972201357715,48.26126480102539,46710700
2011-11-29,48.23479920851691,48.59640573278162,47.82027678985763,47.96139144897461,52056700
2011-11-30,49.26670442606789,49.778243819683496,49.09912845007948,49.73414611816406,66918600
2011-12-01,49.72534372599026,50.21042532573742,49.698882405118205,50.07812881469727,45362200
2011-12-02,50.57201410545178,50.57201410545178,49.89289876001048,49.93699645996094,36938900
2011-12-05,50.68667016290515,50.81896326104964,50.20158537639227,50.48381805419922,40492200
2011-12-06,50.52792096280671,50.66903563403914,50.17513260250606,50.34270858764648,38670000
2011-12-07,50.20159055197491,50.5720186667345,49.698869325431936,50.34270858764648,44576200
2011-12-08,50.01639000419828,50.40445796518331,49.399011909900224,49.49602890014648,51692600
2011-12-09,49.61948634402584,50.43971632659495,49.60184995605637,50.2897834777832,55757900
2011-12-12,49.76061413186564,50.2809751897082,49.3019939059661,49.72533798217773,55411700
2011-12-13,50.05165034234789,50.25450244220538,48.975649029292896,49.17850112915039,68557700
2011-12-14,48.99329610333504,49.02857561234947,48.13778987858956,48.41119766235352,63682800
2011-12-15,48.825726744380745,48.87864264699872,48.208348753135766,48.278907775878906,58732900
2011-12-16,48.53630239661946,49.1908849725123,48.44784684215213,48.52745819091797,60978900
2011-12-19,48.713223935794,48.82821887274848,47.917110332822325,48.04979705810547,46733900
2011-12-20,48.82822193195089,49.535876637615495,48.80168256061335,49.47395706176758,81758800
2011-12-21,49.18204542454507,49.21742900185587,48.20017646189791,48.766300201416016,78552300
2011-12-22,48.87243953876192,49.2085767193253,48.80167239575359,49.182037353515625,40334100
2011-12-23,49.27935063449988,49.60664367675781,49.16435906497944,49.60664367675781,26594600
2011-12-27,49.570343687550455,49.951037975431824,49.51722190497147,49.79167938232422,21443500
2011-12-28,49.72969880197804,49.80937978161536,49.08339902372622,49.21620178222656,38180100
2011-12-29,49.295874163205845,49.60574270923716,49.136512231728645,49.57033157348633,28077900
2011-12-30,49.4640953756256,49.68543104915913,49.41982891638176,49.42868423461914,21832400
2012-01-03,50.3848475760288,50.63274242498633,50.24319289415107,50.37599563598633,39514100
2012-01-04,50.29632056501406,50.65931094097876,50.0749848875401,50.58848190307617,29403400
2012-01-05,50.48224812473643,51.04886699054728,50.28747162312088,51.00460052490234,41260600
2012-01-06,51.01345764251788,51.29676710416559,50.81868449845707,51.18167495727539,46325200
2012-01-09,51.314467306300784,51.33217456738147,50.84523670826417,51.013450622558594,39195500
2012-01-10,51.55352126218913,51.70403132482403,51.0311687694835,51.38530731201172,35949900
2012-01-11,51.37642826291321,51.60661922243835,51.18165519406181,51.49152374267578,37144100
2012-01-12,51.60661556820081,51.76597748972191,51.22591801982413,51.69514846801758,26188300
2012-01-13,51.42069866032076,51.526938824258,51.06656027744471,51.50923156738281,35980400
2012-01-17,51.960762589102245,52.19980552679321,51.78369674842547,51.97846984863281,41790800
2012-01-18,52.07584797732738,52.66902923583984,51.95190056199116,52.66902923583984,48692700
2012-01-19,52.90807625580332,53.09400078249828,52.81069139944742,52.996612548828125,47774500
2012-01-20,52.76642875175183,52.94349798460631,52.73101760703271,52.91693878173828,41041700
2012-01-23,52.92579891530343,53.306496642803786,52.62478218605467,52.93465423583984,40958300
2012-01-24,52.69558745765316,52.97889679527653,52.598199239598806,52.83724212646485,38440200
2012-01-25,53.35073742519432,53.63405013158582,52.97004325831319,53.50124740600586,61591800
2012-01-26,53.73145459347791,53.8288428441634,53.05859553550111,53.31534576416016,37852700
2012-01-27,53.20024347235134,53.572085788695055,53.1736842718452,53.474700927734375,45532300
2012-01-30,53.02317354896935,53.59864765257618,52.8195451340676,53.51896667480469,42797800
2012-01-31,53.78457063952301,53.88195887981674,53.244511035941024,53.58979415893555,51449600
2012-02-01,53.8996693420568,54.21839328293153,53.70489284989674,54.02361679077149,46146700
2012-02-02,54.200677369676335,54.368891255034,53.97934171021482,54.19182205200195,46373600
2012-02-03,54.69646961417679,54.99748626005394,54.60793669722468,54.93551254272461,36453800
2012-02-06,54.73189625209066,54.90896550252059,54.59024152720972,54.891258239746094,28541300
2012-02-07,54.84697047169357,55.112572555534605,54.5990722664367,55.00633239746094,37935700
2012-02-08,55.01519827889351,55.29850769042969,54.81156985043404,55.29850769042969,41171100
2012-02-09,55.51098209198705,55.75887694101733,55.17455095593595,55.696903228759766,46856400
2012-02-10,55.298510098244925,55.45787207133731,55.11258892207539,55.30736541748047,58090500
2012-02-13,55.72346595378067,55.89168322111221,55.46671914845197,55.82085418701172,36810200
2012-02-14,55.69691462389349,55.97137210383879,55.50213812991201,55.96251678466797,51648200
2012-02-15,56.22811158557022,56.53798354700926,55.4844236063565,55.57295989990234,105709100
2012-02-16,55.59067019549115,56.39633193554257,55.44901549539357,56.33435821533203,83642300
2012-02-17,56.34320492633206,56.38747138275696,55.90938892512823,56.15728378295898,76112300
2012-02-21,56.21926215203856,56.564545268979984,55.96251195527694,56.316650390625,38141300
2012-02-22,56.21039691385148,56.37861077332631,55.98020597213473,56.05988693237305,43174700
2012-02-23,56.13073456576463,56.493724976698594,55.85627708342344,56.4317512512207,54250000
2012-02-24,56.591118980222376,56.72392177185876,56.48487877330245,56.62653350830078,41364900
2012-02-27,56.31664671706108,56.89212079263461,56.0687518548764,56.706199645996094,42678500
2012-02-28,56.759313109485824,57.28166198730469,56.688484082268005,57.28166198730469,43717500
2012-02-29,57.32593466592469,57.511855805637175,56.83899352289569,57.02492141723633,59784400
2012-03-01,57.23741229431252,57.5295770339281,57.069195003995176,57.4764518737793,67558900
2012-03-02,57.39676398177024,57.61809963795047,57.246257356678434,57.43217849731445,33358200
2012-03-05,57.39677479825017,57.467603842686415,56.65308671824324,56.83900451660156,45788800
2012-03-06,56.28124237060547,56.41404514352476,55.98022567899456,56.28124237060547,54638600
2012-03-07,56.54684726095572,56.847863967055765,56.45831432629129,56.71506118774414,42741800
2012-03-08,57.05150029177933,57.49417175461527,56.9275528225557,57.32595443725586,43711100
2012-03-09,57.4233168172771,57.67121164399176,57.3879023056568,57.56496810913086,43117200
2012-03-12,57.5472752683072,57.64466350528541,57.29938039404586,57.59154510498047,32687300
2012-03-13,57.90140845948076,58.66280364990234,57.78630959639472,58.66280364990234,61559100
2012-03-14,58.72479229181517,59.08777934438562,58.50345658146275,58.8664436340332,59926900
2012-03-15,59.04350802843756,59.15860015011805,58.7424879918925,59.03465270996094,65531200
2012-03-16,59.12600535992353,59.12600535992353,58.85108533870903,58.992977142333984,53023100
2012-03-19,59.090528848083736,59.55169241899178,58.93089634524571,59.409793853759766,60966200
2012-03-20,59.09940149881079,59.578299025953214,58.93976898976331,59.51622009277344,47290600
2012-03-21,59.52507781982422,59.85320635442358,59.44525819918193,59.52507781982422,39648100
2012-03-22,59.170342918844455,59.54281646841132,59.13486828087208,59.40092468261719,56953900
2012-03-23,59.471872785270754,59.48961348897298,59.028449918059145,59.365455627441406,45541700
2012-03-26,59.76451205735081,60.40304183959961,59.71130349752793,60.40304183959961,40855300
2012-03-27,60.44743726453735,60.74009135389741,60.42082619632351,60.49177551269531,37278200
2012-03-28,60.52721643785222,60.75779820450314,59.89755682969759,60.25229644775391,44421900
2012-03-29,59.95076398168916,60.243424667098175,59.59602437205052,60.02171325683594,53975300
2012-03-30,60.28777320954652,60.323241083115455,59.66697716455924,59.90642929077149,39480900
2012-04-02,59.84434589449975,60.60702690900723,59.73792198345223,60.52721405029297,40031600
2012-04-03,60.58041057243829,60.7932583521948,60.17246247704572,60.50946807861328,45539900
2012-04-04,60.05718114512028,60.092655778707,59.33883842174925,59.68470764160156,54088100
2012-04-05,59.578288682706805,60.11039469845531,59.53394369552148,60.05718612670898,42979900
2012-04-09,59.312232055085865,59.84434483480593,59.2058149120179,59.60489273071289,36908200
2012-04-10,59.578293025972144,59.80887479717413,58.46086557517312,58.64710235595703,69254200
2012-04-11,59.16149003497593,59.321122569934666,58.78014602180212,58.930908203125,62950000
2012-04-12,59.04618243132089,59.66697165286755,58.95749922339923,59.60489273071289,57407400
2012-04-13,59.400906976732514,59.59600727828313,58.67369403030079,58.70029830932617,55227500
2012-04-16,58.99296518275485,59.02843981799341,57.857803919500334,58.04404067993164,57588000
2012-04-17,58.29236130146184,59.40978182906311,58.20367133309492,59.22354507446289,47362400
2012-04-18,59.05504753682711,59.41865749459437,58.89542181811395,59.07278823852539,42536100
2012-04-19,58.85995081922236,59.56942331081919,58.194816552421536,58.407657623291016,81110900
2012-04-20,58.72690607721479,58.9840920665614,58.15932553730976,58.248008728027344,59906900
2012-04-23,57.698178791702965,57.80460271097148,57.19267701584501,57.715919494628906,70514400
2012-04-24,57.60949592975264,57.84894805805589,57.157202727698746,57.40552520751953,49661500
2012-04-25,58.59390919203315,58.96638285157109,58.505225953966594,58.930908203125,57526900
2012-04-26,58.92202346170921,59.40978447901052,58.84220383983758,59.27675628662109,41799500
2012-04-27,59.52508690320228,59.81774084729607,59.21468548967612,59.63150405883789,46003800
2012-04-30,59.4541300478823,59.5694175404991,59.161469374976186,59.205814361572266,37787700
2012-05-01,59.14374654963942,59.977376972257,59.05505655978761,59.30337905883789,37643800
2012-05-02,59.01072120610258,59.51622304884431,58.86882262830306,59.47187805175781,38299300
2012-05-03,59.50735083056416,59.55169582626038,58.691454332086295,58.84221649169922,51297600
2012-05-04,58.30121871198225,58.842194984483,57.37003503758303,57.37889862060547,107554000
2012-05-07,57.0330480733974,57.70705273856668,57.01531413546227,57.43213272094727,50267800
2012-05-08,57.06849527344659,57.4143644086844,56.29694078845097,57.21925735473633,72659700
2012-05-09,56.55413251844557,57.36116171074416,56.32355081604781,57.04189682006836,85715300
2012-05-10,57.299105525627176,57.31683946387816,56.71378745494904,56.92663192749024,49448900
