Date,BIL,BTAL,IAU,LQD,SPY,SQQQ,TLT,TQQQ,USMV,UUP
2011-10-20,74.75920867919922,20.75235176086425,31.63999938964844,68.17498016357422,94.42327117919922,2578452.5,77.36136627197266,0.3633362650871277,19.379444122314453,18.161609649658203
2011-10-21,74.74288940429688,20.454063415527344,31.979999542236328,68.39906311035156,96.2160873413086,2488507.25,76.54270935058594,0.3762597441673279,19.6163330078125,17.994531631469727
2011-10-24,74.74288940429688,19.75521469116211,32.279998779296875,68.7502212524414,97.39582061767578,2334849.25,76.6712646484375,0.3997693657875061,19.6163330078125,17.952756881713867
2011-10-25,74.75920867919922,20.027936935424805,33.220001220703125,69.08934020996094,95.5020980834961,2467269.25,78.61981964111328,0.3771042823791504,19.54755973815918,17.96946907043457
2011-10-26,74.75920867919922,19.772260665893555,33.560001373291016,69.04086303710938,96.47222900390624,2472266.0,77.2463150024414,0.375613659620285,19.6316146850586,17.96946907043457
2011-10-27,74.74288940429688,18.749557495117188,33.97999954223633,69.02879333496094,99.83287811279295,2272386.25,74.62794494628906,0.4058836102485657,19.89143753051757,17.668720245361328
2011-10-28,74.74288940429688,18.417179107666016,34.02000045776367,69.29519653320312,99.80957794189452,2261143.0,75.41282653808594,0.4072254002094269,19.883792877197266,17.677078247070312
2011-10-31,74.7265853881836,19.0904598236084,33.540000915527344,69.45259857177734,97.4036102294922,2374824.75,78.40327453613281,0.3870454728603363,19.837940216064453,18.019590377807617
2011-11-01,74.75920867919922,19.601810455322266,33.540000915527344,69.80016326904297,94.68714904785156,2559714.5,81.02783203125,0.357074111700058,19.837940216064453,18.211732864379883
2011-11-02,74.74288940429688,19.601810455322266,33.900001525878906,70.05542755126953,96.2316436767578,2494753.25,80.01712036132812,0.3658710122108459,19.837940216064453,18.16996383666992
2011-11-03,74.7265853881836,19.19272994995117,34.41999816894531,70.09184265136719,97.98567199707033,2338596.25,78.91815185546875,0.3881390988826751,19.837940216064453,18.08642196655273
2011-11-04,74.74288940429688,19.116025924682617,34.279998779296875,70.23160552978516,97.3880615234375,2376073.75,79.01315307617188,0.3821249604225158,19.71567916870117,18.13654518127441
2011-11-07,74.75920867919922,19.21829605102539,35.08000183105469,69.95208740234375,97.99344635009766,2323605.25,79.51519775390625,0.3906241059303283,19.63925743103028,18.119842529296875
2011-11-08,74.75920867919922,19.26943016052246,34.81999969482422,69.52069091796875,99.25077056884766,2242405.0,78.49760437011719,0.4036467969417572,19.944929122924805,18.03629875183105
2011-11-09,74.74288940429688,19.26943016052246,34.52000045776367,69.33836364746094,95.58745574951172,2473515.5,80.12562561035156,0.361895352602005,19.570486068725582,18.35375213623047
2011-11-10,74.75920867919922,19.55919647216797,34.34000015258789,68.99201965332031,96.48775482177734,2484758.0,78.93173217773438,0.3604037761688232,19.66982078552246,18.30362701416016
2011-11-11,74.74288940429688,19.431360244750977,34.880001068115234,68.87052154541016,98.30390167236328,2343593.5,78.45012664794922,0.3806333243846893,20.02134323120117,18.119842529296875
2011-11-14,74.75920867919922,19.431360244750977,34.720001220703125,68.86444091796875,97.37252807617188,2386068.0,79.71182250976562,0.3741716742515564,19.89143753051757,18.24514961242676
2011-11-15,74.74288940429688,19.601810455322266,34.779998779296875,68.79756927490234,97.8537139892578,2308614.75,79.60333251953125,0.386200875043869,19.89143753051757,18.35375213623047
2011-11-16,74.75920867919922,19.38874626159668,34.380001068115234,68.5788803100586,96.30150604248048,2418548.5,80.32913208007812,0.3671641051769256,19.746238708496094,18.412227630615234
2011-11-17,74.75920867919922,20.027936935424805,33.5,68.03799438476562,94.77251434326172,2585948.5,80.9735336303711,0.3419138491153717,19.402359008789062,18.437292098999023
2011-11-18,74.75920867919922,19.85748672485352,33.63999938964844,68.14738464355469,94.67163848876952,2649660.0,80.95320129394531,0.3337133228778839,19.509353637695312,18.38716697692871
2011-11-21,74.75920867919922,19.95975685119629,32.81999969482422,67.86787414550781,92.87100982666016,2798321.25,81.43479919433594,0.3143283426761627,19.211315155029297,18.420583724975582
2011-11-22,74.74288940429688,20.027936935424805,33.15999984741211,67.6916275024414,92.5062484741211,2773336.0,82.34381866455078,0.3170624375343323,19.211315155029297,18.412227630615234
2011-11-23,74.75920867919922,20.32622528076172,33.08000183105469,67.34529876708984,90.46502685546876,2960723.25,83.15103149414062,0.2959873080253601,18.95150184631348,18.621082305908203
2011-11-25,74.75920867919922,20.70121383666992,32.779998779296875,67.0779037475586,90.29429626464844,3029432.0,81.94359588623047,0.2892774641513824,18.943857192993164,18.72968292236328
2011-11-28,74.75920867919922,20.70121383666992,33.41999816894531,67.10832977294922,92.90982818603516,2710873.0,81.90283966064453,0.3191494941711426,19.34123611450196,18.65449333190918
