Date,BIL
2011-10-20,74.53567504882812
2011-10-21,74.51945495605469
2011-10-24,74.51945495605469
2011-10-25,74.53567504882812
2011-10-26,74.53567504882812
2011-10-27,74.51945495605469
2011-10-28,74.51945495605469
2011-10-31,74.50316619873047
2011-11-01,74.53567504882812
2011-11-02,74.51945495605469
2011-11-03,74.50316619873047
2011-11-04,74.51945495605469
2011-11-07,74.53567504882812
2011-11-08,74.53567504882812
2011-11-09,74.51945495605469
2011-11-10,74.53567504882812
2011-11-11,74.51945495605469
2011-11-14,74.53567504882812
2011-11-15,74.51945495605469
2011-11-16,74.53567504882812
2011-11-17,74.53567504882812
2011-11-18,74.53567504882812
2011-11-21,74.53567504882812
2011-11-22,74.51945495605469
2011-11-23,74.53567504882812
2011-11-25,74.53567504882812
2011-11-28,74.53567504882812
2011-11-29,74.50316619873047
2011-11-30,74.51945495605469
2011-12-01,74.50316619873047
2011-12-02,74.51945495605469
2011-12-05,74.51945495605469
2011-12-06,74.53567504882812
2011-12-07,74.51945495605469
2011-12-08,74.51945495605469
2011-12-09,74.50316619873047
2011-12-12,74.50316619873047
2011-12-13,74.50316619873047
2011-12-14,74.51945495605469
2011-12-15,74.50316619873047
2011-12-16,74.51945495605469
2011-12-19,74.51945495605469
2011-12-20,74.51945495605469
2011-12-21,74.51945495605469
2011-12-22,74.51945495605469
2011-12-23,74.51945495605469
2011-12-27,74.50316619873047
2011-12-28,74.50640869140625
2011-12-29,74.50640869140625
2011-12-30,74.50640869140625
2012-01-03,74.49016571044922
2012-01-04,74.49016571044922
2012-01-05,74.49016571044922
2012-01-06,74.49016571044922
2012-01-09,74.50640869140625
2012-01-10,74.50640869140625
2012-01-11,74.49016571044922
2012-01-12,74.49016571044922
2012-01-13,74.49016571044922
2012-01-17,74.49016571044922
2012-01-18,74.49016571044922
2012-01-19,74.49016571044922
2012-01-20,74.49016571044922
2012-01-23,74.49016571044922
2012-01-24,74.49016571044922
2012-01-25,74.49016571044922
2012-01-26,74.49016571044922
2012-01-27,74.49016571044922
2012-01-30,74.50640869140625
2012-01-31,74.49016571044922
2012-02-01,74.49016571044922
2012-02-02,74.49016571044922
2012-02-03,74.49016571044922
2012-02-06,74.50640869140625
2012-02-07,74.49016571044922
2012-02-08,74.50640869140625
2012-02-09,74.49016571044922
2012-02-10,74.50640869140625
2012-02-13,74.49016571044922
2012-02-14,74.50640869140625
2012-02-15,74.49016571044922
2012-02-16,74.50640869140625
2012-02-17,74.49016571044922
2012-02-21,74.49016571044922
2012-02-22,74.49016571044922
2012-02-23,74.49016571044922
2012-02-24,74.50640869140625
2012-02-27,74.49016571044922
2012-02-28,74.49016571044922
2012-02-29,74.50640869140625
2012-03-01,74.49016571044922
2012-03-02,74.49016571044922
2012-03-05,74.49016571044922
2012-03-06,74.49016571044922
2012-03-07,74.49016571044922
2012-03-08,74.50640869140625
2012-03-09,74.50640869140625
2012-03-12,74.50640869140625
2012-03-13,74.50640869140625
2012-03-14,74.49016571044922
2012-03-15,74.49016571044922
2012-03-16,74.49016571044922
2012-03-19,74.50640869140625
2012-03-20,74.50640869140625
