Date,SPY,TQQQ,QQQ
2011-10-20,94.42327117919922,0.3633363544940948,
2011-10-21,96.2161102294922,0.3762596845626831,
2011-10-24,97.39582061767578,0.3997692167758941,
2011-10-25,95.50211334228516,0.3771043121814728,
2011-10-26,96.47224426269533,0.3756136298179626,
2011-10-27,99.83287811279295,0.4058836102485657,
2011-10-28,99.8095932006836,0.4072254598140716,
2011-10-31,97.40360260009766,0.3870454132556915,
2011-11-01,94.6871337890625,0.357074111700058,
2011-11-02,96.23163604736328,0.3658710122108459,
2011-11-03,97.98570251464844,0.3881390392780304,
2011-11-04,97.38807678222656,0.3821249306201935,
2011-11-07,97.99343872070312,0.3906241953372955,
2011-11-08,99.25074005126952,0.40364670753479,
2011-11-09,95.58747100830078,0.361895352602005,
2011-11-10,96.48777770996094,0.3604038059711456,
2011-11-11,98.3039093017578,0.3806333243846893,
2011-11-14,97.37252807617188,0.3741717040538788,
2011-11-15,97.8537368774414,0.3862008452415466,
2011-11-16,96.301513671875,0.3671640753746032,
2011-11-17,94.77252197265624,0.3419137895107269,
2011-11-18,94.67162322998048,0.3337134420871734,
2011-11-21,92.87102508544922,0.3143282830715179,
2011-11-22,92.50625610351562,0.317062497138977,
2011-11-23,90.4650421142578,0.2959872782230377,
2011-11-25,90.29428100585938,0.2892774939537048,
2011-11-28,92.90982055664062,0.3191495835781097,
2011-11-29,93.1737289428711,0.3133835196495056,
2011-11-30,97.00778198242188,0.3477791249752044,
2011-12-01,96.99225616455078,0.3552351593971252,
2011-12-02,96.9068603515625,0.3518549799919128,
2011-12-05,97.9623794555664,0.3633860051631927,
2011-12-06,97.99343872070312,0.3606031239032745,
2011-12-07,98.35823059082033,0.3611500263214111,
2011-12-08,96.20059967041016,0.3427593410015106,
2011-12-09,97.8304443359375,0.3590123653411865,
2011-12-12,96.4023895263672,0.3472322821617126,
2011-12-13,95.50211334228516,0.3355027437210083,
2011-12-14,94.48535919189452,0.3198948800563812,
2011-12-15,94.82685089111328,0.3174097537994385,
2011-12-16,94.96743774414062,0.3213864862918854,
2011-12-19,93.95208740234376,0.3124893605709076,
